,title,country,date_added,release_year,rating,listed_in,description,target
1213,MeatEater,United States,"September 16, 2020",2020,TV-14,"Docuseries, Reality TV, Science & Nature TV",Steven Rinella scrounges in some of America's wildest terrains in this unscripted series showing him on the hunt for wild animals from ducks to deer.,True
1214,Medal of Honor,United States,"November 9, 2018",2018,TV-MA,"Docuseries, TV Dramas","Honoring service members whose courage merited the awarding of a Medal of Honor, this docudrama series re-creates their inspiring true stories.",False
1215,Medical Police,United States,"January 10, 2020",2020,TV-MA,"Crime TV Shows, TV Action & Adventure, TV Comedies",Doctors Owen Maestro and Lola Spratt leave Childrens Hospital and join a secret arm of the CDC to investigate and destroy a deadly global virus.,False
1216,Medici: Masters of Florence,"Italy, United Kingdom, France","May 1, 2020",2019,TV-MA,"International TV Shows, TV Dramas","After his father's murder, banking heir Cosimo Medici battles opponents of his artistic, economic and political visions for 15th-century Florence.",True
1217,Meet the Adebanjos,United Kingdom,"November 4, 2019",2016,TV-PG,"British TV Shows, International TV Shows, TV Comedies","In South London, tradition clashes with culture as a Nigerian father tries to instill his old-fashioned African values into his modern British family.",True
1218,Mega Food,United Kingdom,"July 12, 2019",2013,TV-G,"British TV Shows, Docuseries, International TV Shows","Visiting the busiest kitchens in the world, this reality series focuses on large-scale food production – and the people who make it happen.",False
1219,Megalobox,Japan,"June 1, 2020",2018,TV-MA,"Anime Series, International TV Shows","Created for the 50th anniversary of manga ""Ashita No Joe,"" mechanized human fighters known as Megalo Boxers battle each other for boxing supremacy.",False
1220,MegaTruckers,Australia,"July 12, 2019",2012,TV-PG,Reality TV,"This reality ride-along offers a glimpse into the can-do, high-stakes world of big rig drivers who haul massive loads of cargo across Australia.",False
1222,Memories of the Alhambra,South Korea,"December 2, 2018",2018,TV-MA,"Crime TV Shows, International TV Shows, Korean TV Shows","While looking for the cryptic creator of an innovative augmented-reality game, an investment firm executive meets a woman who runs a hostel in Spain.",False
1224,Men on a Mission,South Korea,"August 10, 2020",2020,TV-14,"International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows","Male celebs play make-believe as high schoolers, welcoming star transfer students every week and engaging in battles of witty humor and slapstick.",True
1226,Merlí,Spain,"December 1, 2016",2015,TV-MA,"International TV Shows, TV Dramas, Teen TV Shows","An unconventional high school philosophy teacher upsets a few parents and staff, romances others and inspires all his pupils, including his gay son.",False
1227,Merlin,United Kingdom,"December 15, 2016",2012,TV-PG,"British TV Shows, International TV Shows, TV Action & Adventure","This family-oriented retelling of the King Arthur legend finds Merlin arriving in Camelot, where he hones his magic skills with the help of his uncle.",True
1228,Merry Happy Whatever,United States,"November 28, 2019",2019,TV-PG,TV Comedies,"A struggling LA musician tries to win over his new girlfriend's gruff dad and quirky, tight-knit siblings on a 10-day Christmas visit to Philadelphia.",False
1229,Messiah,United States,"January 1, 2020",2020,TV-MA,"TV Dramas, TV Thrillers",A wary CIA officer investigates a charismatic man who sparks a spiritual movement and stirs political unrest. A fictional story not based on true events.,False
1230,Metallica: Some Kind of Monster,United States,"February 10, 2017",2014,TV-MA,TV Shows,"This collection includes the acclaimed rock documentary about Metallica, plus a film checking in with the still-thriving group 10 years later.",False
1231,Meteor Garden,China,"July 14, 2018",2018,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas","Dong Shancai is determined to excel at her dream university, where she encounters an elite clique of dashing, popular high-achievers – and finds love.",False
1232,Mexico Diseña,United States,"February 1, 2017",2016,TV-PG,"International TV Shows, Reality TV, Spanish-Language TV Shows",Young fashion designers vie for the chance to become Mexico's next big talent by competing before judges in grueling tests of creativity and stamina.,False
1233,Mia and Me,"Netherlands, Germany, Italy, Canada","January 1, 2020",2017,TV-Y7,Kids' TV,"A mysterious gift from her late parents sends 12-year-old Mia into an enchanted world of elves, unicorns and an evil queen named Panthea.",True
1234,Middleditch & Schwartz,United States,"April 21, 2020",2020,TV-MA,TV Comedies,Comedy duo Thomas Middleditch and Ben Schwartz turn small ideas into epically funny stories in this series of completely improvised comedy specials.,False
1235,Midnight Diner,Japan,"June 1, 2020",2014,TV-MA,"International TV Shows, TV Dramas","A scarred man operates a midnight diner in the backstreets of Shinjuku. No one knows his name or his story, but his customers each bring him theirs.",True
1236,Midnight Diner: Tokyo Stories,Japan,"October 31, 2019",2019,TV-MA,"International TV Shows, TV Dramas",Patrons of an otherwise mundane Japanese diner find simple yet profound connections with one another based on the shared love of a particular dish.,True
1237,Midnight Misadventures With Mallika Dua,India,"April 1, 2019",2018,TV-14,"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies","In this talk show, comedian Mallika Dua serves up big laughs as Shalishka and whips up a meal with her celebrity pals who dish on their diets and lives.",False
1238,Mighty Express,"United States, Canada","September 22, 2020",2020,TV-Y,Kids' TV,Catch a ride with the Mighty Express — a team of trains and their kid friends who overcome trouble on the tracks with quick thinking and teamwork!,False
1240,Mighty Little Bheem: Diwali,India,"October 18, 2019",2019,TV-Y,"Kids' TV, TV Comedies","From decorating his home to devouring sweets, join Bheem as he makes merry – and a bit of mischief – while the festival of lights is in full swing.",False
1241,Mighty Little Bheem: Festival of Colors,India,"March 5, 2020",2020,TV-Y,"Kids' TV, TV Comedies","From surprising stage performances to spraying colors with friends, join baby Bheem for all his Holi hijinks during the special spring festival.",False
1242,Mighty Little Bheem: Kite Festival,India,"January 8, 2021",2021,TV-Y,"Kids' TV, TV Comedies","With winter behind them, Bheem and his townspeople usher in a sunny new season in all their favorite ways during the Makar Sankranti festival.",False
1244,Mighty Morphin Power Rangers,"United States, Japan","January 1, 2016",2010,TV-Y7,Kids' TV,"Five average teens are chosen by an intergalactic wizard to become the Power Rangers, who must use their new powers to fight the evil Rita Repulsa.",True
1245,Millennials,Argentina,"November 5, 2019",2019,TV-MA,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",A group of millennials copes with the pressures of adulting by tackling a diverse set of problems from unemployment to cheating.,True
1246,Million Dollar Beach House,United States,"August 26, 2020",2020,TV-MA,Reality TV,The competition is fierce — and the drama undeniable — as a group of young and hungry agents try to seal the deal on luxury listings in the Hamptons.,False
1247,Million Pound Menu,United Kingdom,"August 27, 2019",2019,TV-MA,"British TV Shows, International TV Shows, Reality TV",Next-gen restaurateurs get the chance to open their own pop-up eateries to impress the paying public – and a panel of discerning U.K. investors.,True
1248,Million Yen Women,Japan,"August 15, 2017",2017,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","Five beautiful but mysterious women move in with unsuccessful novelist Shin, who manages their odd household in exchange for a tidy monthly sum.",False
1249,Mind Game,Singapore,"June 1, 2017",2015,TV-14,"Crime TV Shows, International TV Shows, TV Dramas","With the help of a cop, a psychologist and a woman who can foretell the future, a brilliant paralegal works to solve an array of perplexing mysteries.",False
1250,MINDHUNTER,United States,"August 16, 2019",2019,TV-MA,"Crime TV Shows, TV Dramas, TV Mysteries",In the late 1970s two FBI agents expand criminal science by delving into the psychology of murder and getting uneasily close to all-too-real monsters.,True
1251,Minecraft: Story Mode,"United States, Sweden","November 27, 2018",2015,TV-PG,Kids' TV,"Take control of an adventure set in the Minecraft universe. The future of the world is at stake, and your decisions shape the story – so choose wisely!",False
1252,Mini Wolf,France," September 16, 2018",2014,TV-G,Kids' TV,Mini-Wolf and his fun-loving pals friends are always on the look out for a new adventure – even if it includes a little bit of mischief.,True
1254,Miniforce X,South Korea,"October 1, 2019",2018,TV-Y7,"Kids' TV, Korean TV Shows",Zenos wants to use the Earth’s negative energy for his own good – and it's up to Miniforce X to stop this space alien’s evil plans.,False
1255,Minute to Win It,United States,"December 15, 2018",2013,TV-PG,Reality TV,"In this game show hosted by Olympian Apolo Anton Ohno, contestants compete by completing 60-second challenges using common household items.",False
1256,Miraculous: Tales of Ladybug & Cat Noir,"France, South Korea, Japan","February 1, 2020",2019,TV-Y7,"Kids' TV, TV Action & Adventure","When Paris is in peril, Marinette becomes Ladybug. Little does she know, her school crush Adrien is actually Cat Noir, another city-saving superhero.",True
1257,Misaeng,South Korea,"August 8, 2019",2014,TV-MA,"International TV Shows, Korean TV Shows, TV Dramas","Equipped with nothing more than a GED and strategies for the game of go, an office intern gets thrown into the cold reality of the corporate world.",False
1258,Mismatched,India,"November 20, 2020",2020,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies","After a disastrous set-up by their families, two teens strike up a tentative friendship at their summer program — but deeper feelings aren’t far behind.",False
1260,Miss Dynamite,Mexico,"May 5, 2018",2015,TV-14,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Wealthy, beautiful Valentina falls in love, only to realize that her man and her family are involved with one of Mexico's most powerful drug cartels.",False
1261,Miss in Kiss,Taiwan,"December 8, 2016",2016,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies","A quirk of fate sends an ordinary, sweet-natured high school girl and her father into the home of the school genius, on whom she has a huge crush.",False
1262,Miss Panda & Mr. Hedgehog,South Korea,"December 15, 2016",2012,TV-PG,"International TV Shows, Korean TV Shows, Romantic TV Shows","When a gifted patissier with a gloomy past meets a bright and easygoing café owner, he begins to shed his thorns and learns to love again.",False
1263,Miss Rose,Taiwan,"August 1, 2016",2015,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies","Resolving to get married soon, hardworking Si-yi finds love in an unexpected place, but her ex and her job interfere with her plans.",False
1264,Mob Psycho 100,Japan,"May 22, 2018",2018,TV-MA,"International TV Shows, TV Action & Adventure, TV Comedies","There's an organization gathering espers for a nefarious purpose. Powerful psychic Mob, however, is just trying to be the protagonist of his own life.",False
1265,Mobile Suit Gundam UC,Japan,"September 20, 2018",2014,TV-PG,"Anime Series, International TV Shows","When Banagher Links meets the mysterious Audrey Burne, he inherits the Unicorn Gundam and is swept up into the battle for space colony independence.",False
1266,Mobile Suit Gundam: Iron-Blooded Orphans,Japan,"November 1, 2019",2016,TV-14,"Anime Series, International TV Shows","On a terraformed post-disaster Mars, a group of child security agents rebel against the adults who betrayed them and the oppressive Earth government.",True
1267,Moesha,United States,"August 1, 2020",2000,TV-PG,"TV Comedies, Teen TV Shows","Navigating the twists and firsts of high school, Moesha juggles friendships, romance and the occasional drama while trying to keep her family together.",True
1268,Molang,France,"July 1, 2019",2015,TV-Y,Kids' TV,"An imaginative, big-hearted bunny and his friend, a shy chick, explore the everyday joys of their pastel-colored world.",False
1269,Momo Salon,South Korea,"July 1, 2017",2014,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows","An aspiring hair stylist opens her own salon. It turns into a mail-holding hub for busy neighbors, but she seizes the chance to promote her business.",False
1270,Monarca,Mexico,"January 1, 2021",2021,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas","After 20 years, Ana María returns to Mexico and vies for control of her family's tequila empire as it threatens to crumble under corruption and secrets.",True
1273,Monkey Planet,United Kingdom,"March 31, 2017",2014,TV-PG,"British TV Shows, Docuseries, Science & Nature TV","Join zoologist Dr. George McGavin for a fascinating, up-close look at the habits and behaviors of primates, our closest animal relatives.",False
1274,Monkey Twins,Thailand,"September 2, 2018",2018,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure","Inspired by Khon dance drama and Thai martial arts, a fighter scarred by the past joins forces with a determined cop to battle an organized crime ring.",False
1275,Monster Math Squad,Canada,"May 15, 2020",2012,TV-Y,Kids' TV,"Max, Lily and Goo love to put their minds together and use their math skills to overcome any obstacle, even ones with two left feet or ten thumbs.",True
1276,Monthly Girls' Nozaki Kun,Japan,"May 1, 2020",2014,TV-PG,"Anime Series, Romantic TV Shows",Art imitates life when Chiyo discovers her crush is a famous artist who wants to use their budding relationship as inspiration for his romantic manga.,False
1277,Monty Don's French Gardens,United Kingdom,"July 26, 2019",2013,TV-G,"British TV Shows, Docuseries, International TV Shows","TV personality Monty Don visits France’s most famous gardens to dig up the influence of power, culture and passion on their conceptions and designs.",False
1278,Monty Don's Italian Gardens,United Kingdom,"July 26, 2019",2011,TV-G,"British TV Shows, Docuseries, International TV Shows","From horticultural hideaways to luxurious botanical displays, TV personality Monty Don explores the history behind Italy’s most extraordinary gardens.",False
1279,Monty Python Best Bits (mostly),United Kingdom,"October 2, 2018",2014,TV-MA,"British TV Shows, Docuseries, TV Comedies","Prominent comedians pay tribute to Monty Python's best work in this five-part series, along with selected clips of sketches.",False
1280,Monty Python's Almost the Truth,United Kingdom,"October 2, 2018",2009,TV-MA,"British TV Shows, Docuseries","The legacy of comedy group Monty Python, whose irreverent brand of humor has tickled the ribs of millions, is explored in this documentary.",False
1281,Monty Python's Fliegender Zirkus,"United Kingdom, West Germany","October 2, 2018",1972,TV-MA,"International TV Shows, TV Comedies","The Pythons elevate the absurd to new heights and bring their sketches to German TV, working in phonetic German, at times with an Australian accent.",False
1282,Monty Python's Flying Circus,United Kingdom,"October 2, 2018",1974,TV-14,"British TV Shows, Classic & Cult TV, International TV Shows","The Monty Python players make their mark with a winning mix of wit, ingenuity and brilliant timing – and a penchant for mockery and cross-dressing.",True
1283,Monty Python's Personal Best,"United States, United Kingdom","October 2, 2018",2005,TV-MA,"British TV Shows, TV Comedies",Original members of the iconic Monty Python comedy troupe pick their all-time favorite sketches from their groundbreaking television series.,False
1284,Monzón: A Knockout Blow,Argentina,"October 25, 2019",2018,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","This dramatization tells the story of Argentine boxing champion Carlos Monzón, as well as the investigation into the death of his wife Alicia Muñiz.",False
1285,More to Say,Egypt,"March 13, 2019",2018,TV-14,"International TV Shows, TV Dramas, TV Mysteries","After her son dies in an accident, a legal consultant is forced to prove her innocence when she's accused of his murder.",False
1286,Morphle,Netherlands,"December 17, 2020",2020,TV-Y,"British TV Shows, Kids' TV","Little Mila turns playtime into a series of fun and educational adventures with her magical pet Morphle, who transforms into anything she dreams up!",True
1287,Mortel,France,"November 21, 2019",2019,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","After making a deal with a supernatural figure, two high schoolers emerge with extraordinary powers and join forces to solve a murder.",False
1288,Mossad 101,Israel,"July 11, 2018",2017,TV-MA,"International TV Shows, TV Action & Adventure, TV Dramas","Cadets from every level of Israeli society undergo intense training to join their country's elite, highly classified intelligence service, the Mossad.",True
1289,Most Beautiful Thing,Brazil,"June 19, 2020",2020,TV-MA,"International TV Shows, Romantic TV Shows, TV Dramas","A 1950s housewife goes to Rio de Janeiro to meet up with her husband, only to learn he's deserted her, but decides to stay and open a bossa nova club.",True
1290,Mother Goose Club,United States,"May 19, 2017",2016,TV-Y,Kids' TV,Classic nursery rhymes and children's songs get a fresh twist in this high-energy program that helps kids learn as they dance and sing along.,True
1291,Motown Magic,"Australia, United States","June 28, 2019",2019,TV-Y,Kids' TV,"Imaginative boy Ben transforms his city by bringing colorful street art to life, armed with a magic paintbrush – and the classic sounds of Motown.",True
1292,Move,United States,"October 23, 2020",2020,TV-MA,"Docuseries, International TV Shows",Discover the brilliant dancers and choreographers who are shaping the art of movement around the world in this documentary series.,False
1293,Moving Art,United States,"September 1, 2019",2018,TV-G,"Docuseries, Science & Nature TV","Experience nature's art as filmmaker Louie Schwartzberg highlights the beauty that lurks in oceans, forests, deserts and flowers.",True
1295,Mr. Iglesias,United States,"December 8, 2020",2020,TV-14,"TV Comedies, Teen TV Shows",Hilarious high school teacher Gabriel Iglesias tries to make a difference in the lives of some smart but underperforming students at his alma mater.,True
1296,Mr. Sunshine,South Korea,"July 8, 2018",2018,TV-MA,"International TV Shows, Korean TV Shows, Romantic TV Shows",A young boy who ends up in the U.S. after the 1871 Shinmiyangyo incident returns to Korea at a historical turning point and falls for a noblewoman.,False
1297,Mr. Young,Canada," April 16, 2019",2013,TV-G,"Kids' TV, TV Comedies","After Adam graduates from college at age 14, he heads back to high school to teach science, where his crush and his best friends are his students!",True
1298,Murder Maps,United Kingdom,"March 1, 2018",2017,TV-MA,"British TV Shows, Crime TV Shows, Docuseries",Dramatic reenactments paired with archival sources artfully illustrate how police brought some of Britain's most infamous killers to justice.,True
1299,Murder Mountain,United States,"December 28, 2018",2018,TV-MA,"Crime TV Shows, Docuseries","In Humboldt County, California, the big business of legal marijuana brings in visitors from around the world. Some are never seen again.",False
1300,Murderous Affairs,United States,"April 17, 2018",2017,TV-MA,"Crime TV Shows, Docuseries","Mixing interviews with dramatic re-enactments, this series focuses on lethal love affairs and spouses driven to murder.",True
1301,Murphy's Law of Love,Taiwan,"October 1, 2016",2015,TV-PG,"International TV Shows, Romantic TV Shows, TV Comedies",An online matchmaker who's convinced she's living under a curse finds her theories on life and love tested when she meets a shrewd divorce expert.,False
1302,Mutant Busters,Spain," June 1, 2017",2017,TV-PG,"Kids' TV, TV Comedies","After a natural disaster known as the Big Fart leaves Earth divided, only Sheriff and his rebel misfits can protect the planet from a mutant invasion.",True
1303,My Babysitter's a Vampire,Canada,"October 17, 2018",2012,TV-PG,"Kids' TV, TV Comedies","Ethan, Benny and fledgling vampire Sarah battle zombies, demons and the other supernatural beasties that regularly threaten their school.",True
1304,My Country: The New Age,South Korea,"October 5, 2019",2019,TV-14,"International TV Shows, Korean TV Shows, TV Action & Adventure","At the end of the Goryeo period, there were those who led the charge to proclaim a new age – and the ordinary individuals who risked everything.",False
1305,My Dear Boy,Taiwan,"April 19, 2019",2017,TV-MA,"International TV Shows, Romantic TV Shows","Heartbroken and romantically pessimistic, a commercial director meets a young artist and teaches him life-changing lessons about love.",False
1306,My Dear Warrior,Thailand,"November 14, 2019",2019,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies","Love leaps off the page when an astronomer magically meets her comic book hero in the flesh, but learns that his fictional problems are very real.",False
1307,My First First Love,South Korea,"July 26, 2019",2019,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows","Due to various personal reasons, a group of Yun Tae-o’s friends move into his house, where they experience love, friendship, and everything in between.",True
1309,My Hotter Half,United Kingdom,"July 22, 2019",2017,TV-PG,"British TV Shows, International TV Shows, Reality TV","Couples compete to see who can take the sexiest selfie, with the loser getting a much-needed makeover.",False
1310,My Husband Won't Fit,Japan,"March 20, 2019",2019,TV-MA,"International TV Shows, Romantic TV Shows, TV Dramas","Kumiko and Kenichi meet in college and build a happy marriage together. But over time, an unusual problem threatens to destroy their relationship.",False
1312,My Little Baby,South Korea,"June 10, 2017",2016,TV-PG,"Crime TV Shows, International TV Shows, Korean TV Shows",A top detective in the violent crimes unit becomes the sole guardian of his 6-month-old niece when his sister and her husband pass away unexpectedly.,False
1313,My Little Pony: Friendship Is Magic,"United States, Canada","November 12, 2018",2018,TV-Y,Kids' TV,"Journey to the enchanted land of Equestria, where unicorn Twilight Sparkle and her pals have adventures and learn valuable lessons about friendship.",True
1314,My Mister,South Korea,"June 10, 2020",2018,TV-MA,"Crime TV Shows, International TV Shows, Korean TV Shows","In a world that is less than kind, a young woman and a middle-aged man develop a sense of kinship as they find warmth and comfort in one another.",False
1315,My MVP Valentine,Taiwan,"November 15, 2019",2002,TV-PG,"International TV Shows, Romantic TV Shows, TV Dramas","An unfortunate accident alters the life of a high school basketball prodigy, who abandons his beloved sport and becomes entangled in a love triangle.",False
1316,My Next Guest Needs No Introduction With David Letterman,United States,"October 21, 2020",2020,TV-MA,Stand-Up Comedy & Talk Shows,TV legend David Letterman teams up with fascinating global figures for in-depth interviews and curiosity-fueled excursions in this monthly talk show.,True
1317,My Only Love Song,South Korea,"June 9, 2017",2017,TV-MA,"International TV Shows, Korean TV Shows, Romantic TV Shows","When things don't go her way during a shooting for her new show, a top actress runs away in an old van that guides her on a time-traveling journey.",False
1318,My Perfect Landing,Canada,"August 1, 2020",2020,TV-G,Kids' TV,Everything changes for talented young gymnast Jenny Cortez when she moves with her family from Miami to Toronto to open a new gymnastics club.,False
1320,My Runway,South Korea,"December 30, 2016",2016,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows",An egotistic top male model and a pretty model wannabe are forced to live each other's lives until they figure out a way to undo their body switch.,False
1321,My Sassy Girl,South Korea,"November 15, 2019",2017,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows",A refined young Joseon scholar's life turns upside down after he rescues a drunk princess who later accuses him of taking something precious from her.,False
1322,My Secret Romance,South Korea,"April 25, 2020",2017,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows",A nutritionist gets entangled in a series of misunderstandings with her new chaebol boss – who turns out to be someone she slept with in the past.,False
1323,My Shy Boss,South Korea,"June 1, 2020",2017,TV-MA,"International TV Shows, Korean TV Shows, Romantic TV Shows",The isolated life of an extreme introvert is thrown out of order when his company hires a new employee: a cheery extrovert who's not all she seems.,False
1324,My Tattoo Addiction,United Kingdom,"February 1, 2019",2013,TV-MA,"British TV Shows, Docuseries",Ink junkies dig skin deep and share personal stories about their collection of body art.,False
1325,Mystery Lab,Brazil,"August 4, 2020",2020,TV-PG,"Docuseries, International TV Shows, Science & Nature TV","Host Felipe Castanhari explores science, history, mysteries and marvels, uncovering mind-blowing facts with help from his lab buddies.",False
1326,Mystery Science Theater 3000,United States,"March 15, 2018",1999,TV-14,"TV Comedies, TV Sci-Fi & Fantasy",Hosts Joel and Mike and their robot companions offer hilarious running commentary on B movies they're forced to watch in these classic MST3K episodes.,False
1327,Mystery Science Theater 3000: The Return,United States,"November 22, 2018",2018,TV-14,"TV Comedies, TV Sci-Fi & Fantasy","The cult hit returns! Captured by mad scientists, new host Jonah survives a blitz of cheesy B movies by riffing on them with his funny robot pals.",True
1328,Mystic Pop-up Bar,South Korea,"May 21, 2020",2020,TV-MA,"International TV Shows, Korean TV Shows, TV Comedies",A young man with a unique ability begins working for a centuries-old bar owner who resolves her customers' emotional troubles by entering their dreams.,False
1329,Mystic Whispers,Singapore,"July 1, 2017",2014,TV-14,"International TV Shows, TV Dramas, TV Horror","After a car accident enables a young woman to hear mysterious sounds, she meets a mortician. Together, they listen to ghosts and try to help them.",False
1330,Mythomaniac,France,"November 28, 2019",2019,TV-MA,"International TV Shows, TV Comedies, TV Dramas","Burned out and taken for granted, a working mom suspects her partner is cheating, so to win back his attentions, she feigns a medical diagnosis.",False
1331,Myths & Monsters,United Kingdom,"December 23, 2017",2017,TV-PG,"British TV Shows, Docuseries",This documentary series takes us to the mythic landscapes of Europe to explore some of most enduring legends produced by European culture.,False
1332,Nadiya’s Time to Eat,United Kingdom,"April 29, 2020",2020,TV-G,"British TV Shows, International TV Shows, Reality TV","On this cooking show, Nadiya Hussain serves up delicious shortcuts, vital ingredients and fast favorites — perfect for today's time-strapped families.",False
1333,Nagi-Asu: A Lull in the Sea,Japan,"August 1, 2020",2014,TV-14,"Anime Series, Romantic TV Shows, Teen TV Shows","In a world where humans are divided between the land and the sea, four childhood friends from the ocean must attend middle school on the surface.",False
1334,Nailed It,United States,"April 1, 2020",2020,TV-PG,Reality TV,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",True
1335,Nailed It! France,France,"October 25, 2019",2019,TV-14,"International TV Shows, Reality TV","On this fun and funny competition show, home bakers talented in catastrophe struggle to re-create dessert masterpieces and win a 5,000 euro prize.",False
1336,Nailed It! Germany,Germany,"January 17, 2020",2020,TV-14,"International TV Shows, Reality TV","Home cooks try – and inevitably fail – to re-create spectacular confections on this comical competition show, all for a sweet 5,000 euros.",False
1337,Nailed It! Holiday!,United States,"November 22, 2019",2019,TV-PG,Reality TV,"It's the ""Nailed It!"" holiday special you've been waiting for, with missing ingredients, impossible asks and desserts that look delightfully sad.",True
1338,Nailed It! Mexico,"Mexico, United States","January 5, 2021",2021,TV-PG,"International TV Shows, Reality TV, Spanish-Language TV Shows","The fun, fondant and hilarious cake fails head to Mexico, where very amateur bakers compete to re-create elaborate sweet treats for a cash prize.",True
1339,Nailed It! Spain,Spain,"October 25, 2019",2019,TV-PG,"International TV Shows, Reality TV, Spanish-Language TV Shows","On this competition show, novice bakers try to avoid a fiasco while duplicating stunning sweets. At stake are a trophy and 5,000 euros.",False
1340,Narcos,"United States, Colombia, Mexico","September 1, 2017",2017,TV-MA,"Crime TV Shows, TV Action & Adventure, TV Dramas",The true story of Colombia's infamously violent and powerful drug cartels fuels this gritty gangster drama series.,True
1341,Narcos: Mexico,"Mexico, United States","February 13, 2020",2020,TV-MA,"Crime TV Shows, TV Action & Adventure, TV Dramas","Witness the birth of the Mexican drug war in the 1980s as a gritty new ""Narcos"" saga chronicles the true story of the Guadalajara cartel's ascent.",True
1342,Narcoworld: Dope Stories,United States,"November 22, 2019",2019,TV-MA,"Crime TV Shows, Docuseries","Ride along as police officers and drug smugglers go toe-to-toe, trying to outwit each other in locales around the world.",False
1343,Naruto,Japan,"September 1, 2019",2006,TV-14,"Anime Series, International TV Shows","Guided by the spirit demon within him, orphaned Naruto learns to harness his powers as a ninja in this anime adventure series.",True
1344,Nature: Animals With Cameras,"United Kingdom, United States","October 1, 2018",2018,TV-PG,"Docuseries, Science & Nature TV","With custom-built cameras attached to their bodies, animals from nine species offer a rare and intimate glimpse into their lives.",False
1345,NATURE: Natural Born Hustlers,United States,"March 1, 2017",2016,TV-G,"Docuseries, Science & Nature TV","Sometimes being shady is the only way to survive, a fact these sneaky animal ""hustlers"" – including orcas, owls and otters – use to their advantage.",False
1346,Nature's Great Events (2009),"United States, United Kingdom","October 10, 2015",2009,TV-PG,"British TV Shows, Docuseries, Science & Nature TV","This series looks at how seasonal changes cause shifting weather patterns and ocean currents, creating the conditions for spectacular wildlife events.",False
1347,Nature's Great Events: Diaries,"United States, United Kingdom","April 22, 2015",2009,TV-PG,"British TV Shows, Docuseries, Science & Nature TV",Look behind the scenes of this wildlife documentary series that examines how animals around the world adapt to chaotic natural phenomena.,False
1348,Nature's Great Race,United Kingdom,"October 1, 2017",2016,TV-PG,"British TV Shows, Docuseries, Science & Nature TV","Epic footage captures three of the world's most significant land migrations, following elephants, caribou and zebras on their treacherous journeys.",False
1349,Nature's Weirdest Events,United Kingdom," September 1, 2019",2015,TV-PG,"British TV Shows, Docuseries, Science & Nature TV","Host Chris Packham examines bizarre natural phenomena from around the globe, from strange creatures to geographical oddities.",True
1350,Nazi Mega Weapons,United States," March 1, 2017",2016,TV-PG,Docuseries,"This documentary series examines Nazi Germany's military hardware, defenses and technology, including fortifications, U-boats and ballistic missiles.",True
1351,NCIS,United States,"July 1, 2018",2017,TV-14,"Crime TV Shows, TV Dramas, TV Mysteries",Follow the quirky agents of the NCIS – the Naval Criminal Investigative Service – as they track down terrorists and other high-profile criminals.,True
1352,Neo Yokio,United States,"December 7, 2018",2018,TV-MA,"TV Comedies, TV Sci-Fi & Fantasy, Teen TV Shows","Joined by his faithful mecha-butler, Kaz Kaan pursues love, fashion and supernatural forces amid Neo Yokio's sinister high society.",True
1353,Neon Genesis Evangelion,Japan,"June 21, 2019",1995,TV-MA,"Anime Series, International TV Shows","Fifteen years after the Second Impact, Shinji Ikari joins his father's group NERV as one of several teenage mecha pilots fighting the monstrous Angels.",False
1354,Netflix Presents: The Characters,United States,"March 11, 2016",2016,TV-MA,TV Comedies,We asked eight up-and-coming comedians for their wildest sketch and improv routines – and got a new comedy series unlike anything else.,False
1355,Never Have I Ever,United States,"April 27, 2020",2020,TV-14,"TV Comedies, TV Dramas, Teen TV Shows","After a traumatic year, all an Indian-American teen wants is to go from pariah to popular — but friends, family and feelings won’t make it easy on her.",False
1356,New Girl,United States,"April 11, 2019",2018,TV-14,"Romantic TV Shows, TV Comedies","Still rebounding from a breakup, Jessica Day moves in with three single guys, all of whom are ready to help her understand the ways of the world.",True
1357,Next in Fashion,United States,"January 29, 2020",2020,TV-14,Reality TV,"Talented designers from around the world compete for $250,000 and the chance to become the next big thing in fashion.",False
1358,Nicky Jam: El Ganador,"Puerto Rico, United States, Colombia","April 21, 2020",2018,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Follow reggaeton artist Nicky Jam's struggles to overcome drug addiction and rise to international success in this dramatization of his life story.,False
